design_id,player_id,repeats,games_per_repeat,total_games,num_battles,trait_aggressiveness,trait_risk_tolerance,trait_tempo,trait_bluffiness,trait_stubbornness,trait_domination_drive,trait_herding,trait_ev_adherence,trait_exploration,winrate_percent,wins
1,0,3,192,576,3,60,66,46,54,46,40,28,42,5,39.757,229
1,1,3,192,576,3,28,32,94,24,24,48,74,96,4,14.931,86
1,2,3,192,576,3,0,4,60,40,32,88,38,70,7,16.667,96
1,3,3,192,576,3,52,52,56,20,80,72,84,58,2,28.472,164
2,0,3,192,576,3,20,50,72,40,88,96,72,82,0,8.681,50
2,1,3,192,576,3,100,96,34,68,76,72,26,30,9,34.201,197
2,2,3,192,576,3,100,96,40,62,50,20,86,22,0,36.111,208
2,3,3,192,576,3,16,16,36,68,26,20,28,32,9,20.660,119
3,0,3,192,576,3,28,86,20,76,66,56,4,72,4,15.278,88
3,1,3,192,576,3,52,60,12,44,30,96,96,10,0,32.292,186
3,2,3,192,576,3,56,46,78,80,4,72,4,36,8,32.986,190
3,3,3,192,576,3,28,94,14,46,60,88,4,24,5,18.750,108
4,0,3,192,576,3,92,4,92,18,24,0,96,4,9,50.000,288
4,1,3,192,576,3,20,20,64,96,68,22,4,64,6,19.444,112
4,2,3,192,576,3,44,52,20,22,76,44,72,84,5,13.368,77
4,3,3,192,576,3,92,36,94,92,12,40,60,98,3,16.840,97
5,0,3,192,576,3,84,88,52,4,0,32,16,60,3,18.576,107
5,1,3,192,576,3,84,64,54,36,100,4,16,54,7,27.083,156
5,2,3,192,576,3,64,20,76,36,18,26,56,44,9,31.944,184
5,3,3,192,576,3,12,76,70,28,94,32,16,40,8,22.049,127
6,0,3,192,576,3,48,20,28,90,60,76,84,12,8,30.035,173
6,1,3,192,576,3,38,2,20,84,0,80,84,20,2,30.208,174
6,2,3,192,576,3,36,76,28,68,88,58,20,94,4,11.458,66
6,3,3,192,576,3,70,8,38,84,50,84,72,68,0,28.125,162
7,0,3,192,576,3,4,56,82,24,86,64,40,30,7,26.910,155
7,1,3,192,576,3,8,40,48,8,56,54,40,40,8,30.208,174
7,2,3,192,576,3,16,28,94,100,44,12,88,60,6,20.833,120
7,3,3,192,576,3,86,78,12,6,66,4,96,76,4,21.354,123
8,0,3,192,576,3,64,28,8,68,28,20,60,96,2,13.194,76
8,1,3,192,576,3,68,76,76,62,44,28,60,88,3,10.938,63
8,2,3,192,576,3,84,76,12,4,64,80,36,12,2,37.153,214
8,3,3,192,576,3,44,40,80,56,16,50,40,4,7,38.021,219
9,0,3,192,576,3,74,80,80,94,96,6,20,56,4,22.049,127
9,1,3,192,576,3,16,88,98,80,60,88,24,6,6,24.479,141
9,2,3,192,576,3,68,44,64,72,48,34,18,64,1,19.097,110
9,3,3,192,576,3,68,4,0,36,6,64,24,28,4,34.201,197
10,0,3,192,576,3,8,10,4,12,40,50,80,20,9,23.958,138
10,1,3,192,576,3,56,48,26,26,38,16,76,72,1,15.451,89
10,2,3,192,576,3,32,60,34,32,72,50,60,16,6,35.069,202
10,3,3,192,576,3,0,66,84,76,50,16,68,50,7,25.174,145
11,0,3,192,576,3,38,72,58,72,16,88,44,36,7,36.111,208
11,1,3,192,576,3,90,12,4,50,92,40,44,88,9,16.840,97
11,2,3,192,576,3,24,8,96,12,22,6,24,28,4,27.604,159
11,3,3,192,576,3,44,50,66,10,34,96,88,92,8,18.403,106
12,0,3,192,576,3,80,44,32,34,72,44,56,88,2,8.333,48
12,1,3,192,576,3,36,76,68,4,6,64,56,36,4,16.667,96
12,2,3,192,576,3,76,88,4,92,96,84,98,80,8,24.132,139
12,3,3,192,576,3,76,82,48,52,84,44,44,16,1,50.521,291
13,0,3,192,576,3,94,50,20,44,52,14,36,50,6,14.583,84
13,1,3,192,576,3,72,20,60,68,36,60,66,44,3,48.611,280
13,2,3,192,576,3,8,32,54,54,10,96,76,40,3,23.958,138
13,3,3,192,576,3,22,20,24,16,20,28,80,72,6,12.500,72
14,0,3,192,576,3,36,34,96,60,8,70,64,76,1,21.528,124
14,1,3,192,576,3,4,54,14,16,64,34,34,80,8,17.882,103
14,2,3,192,576,3,92,64,50,48,84,12,48,88,10,23.090,133
14,3,3,192,576,3,60,62,92,72,74,76,36,48,3,36.806,212
15,0,3,192,576,3,18,96,44,24,36,80,12,66,5,6.771,39
15,1,3,192,576,3,48,92,44,88,16,8,90,62,2,23.958,138
15,2,3,192,576,3,60,16,86,16,36,68,68,56,2,24.306,140
15,3,3,192,576,3,96,28,56,40,40,8,8,8,2,44.618,257
16,0,3,192,576,3,52,12,68,84,78,24,88,8,9,29.340,169
16,1,3,192,576,3,76,32,84,44,82,86,10,16,7,32.465,187
16,2,3,192,576,3,40,86,18,86,58,48,8,6,5,26.215,151
16,3,3,192,576,3,34,90,26,100,88,58,52,84,10,11.979,69
17,0,3,192,576,3,56,100,2,30,20,76,72,64,8,15.625,90
17,1,3,192,576,3,44,28,50,58,96,12,68,8,10,36.979,213
17,2,3,192,576,3,52,0,36,96,60,18,82,60,6,34.028,196
17,3,3,192,576,3,34,64,88,28,54,68,16,88,6,12.326,71
18,0,3,192,576,3,12,16,76,64,64,20,28,10,3,17.188,99
18,1,3,192,576,3,84,88,22,12,4,92,32,68,5,13.889,80
18,2,3,192,576,3,48,96,68,2,34,98,42,8,1,22.222,128
18,3,3,192,576,3,98,4,22,84,2,16,72,10,5,46.354,267
19,0,3,192,576,3,32,54,36,2,92,30,96,44,2,23.611,136
19,1,3,192,576,3,64,50,44,88,52,68,100,96,6,20.660,119
19,2,3,192,576,3,6,48,4,32,84,46,74,48,9,14.757,85
19,3,3,192,576,3,58,88,30,0,82,98,96,46,1,39.931,230
20,0,3,192,576,3,100,36,62,92,48,86,2,80,7,37.500,216
20,1,3,192,576,3,12,14,80,34,48,38,0,28,1,31.944,184
20,2,3,192,576,3,94,56,100,64,8,64,4,98,3,18.924,109
20,3,3,192,576,3,22,44,62,62,36,48,40,68,8,11.285,65
21,0,3,192,576,3,76,70,98,80,24,56,84,32,1,27.431,158
21,1,3,192,576,3,96,72,90,94,20,36,16,42,2,26.215,151
21,2,3,192,576,3,16,24,44,76,96,56,24,32,8,15.278,88
21,3,3,192,576,3,80,56,88,24,72,30,88,14,3,30.903,178
22,0,3,192,576,3,42,40,24,12,84,12,16,92,6,22.396,129
22,1,3,192,576,3,30,8,36,48,80,58,84,80,7,22.569,130
22,2,3,192,576,3,84,80,52,22,20,36,52,84,5,29.514,170
22,3,3,192,576,3,38,24,6,64,22,80,32,88,6,25.347,146
23,0,3,192,576,3,12,78,64,52,62,50,60,52,10,27.431,158
23,1,3,192,576,3,24,44,8,72,28,84,40,52,4,32.986,190
23,2,3,192,576,3,68,28,12,40,72,84,32,74,7,22.917,132
23,3,3,192,576,3,4,92,46,48,92,12,0,54,10,16.319,94
24,0,3,192,576,3,68,8,40,42,4,94,42,24,5,22.222,128
24,1,3,192,576,3,52,84,68,20,72,12,60,24,9,26.215,151
24,2,3,192,576,3,32,70,84,56,46,0,92,24,0,25.000,144
24,3,3,192,576,3,64,28,64,90,38,60,56,30,2,26.042,150
25,0,3,192,576,3,68,60,72,20,70,80,76,28,0,33.160,191
25,1,3,192,576,3,0,80,60,40,34,74,20,92,0,10.243,59
25,2,3,192,576,3,20,38,44,14,68,60,60,52,2,22.222,128
25,3,3,192,576,3,50,16,44,16,28,72,76,4,9,34.028,196
